filename	churn	size	minor	major	total	ownership	defects
mk/cfg/x86_64-sun-solaris.mk	29	23	0	3	3	0.5	0
src/librustc_typeck/check/dropck.rs	2010	658	22	4	26	0.308411214953271	2
src/test/compile-fail/issue-19380.rs	4	28	0	2	2	0.5	0
src/test/run-pass/cci_no_inline_exe.rs	8	32	0	4	4	0.25	0
src/test/compile-fail/const-deref-ptr.rs	3	17	0	3	3	0.3333333333333333	0
src/test/run-pass/issue-33387.rs	50	41	0	2	2	0.6666666666666666	0
src/librustdoc/core.rs	1203	208	25	3	28	0.37719298245614036	3
src/test/compile-fail/issue-21221-1.rs	120	97	0	3	3	0.6	0
src/test/ui/span/vec-must-not-hide-type-from-dropck.rs	135	135	0	1	1	1.0	0
src/test/compile-fail/issue-12796.rs	15	19	0	4	4	0.3333333333333333	0
src/test/compile-fail/empty-struct-braces-pat-2.rs	102	36	0	6	6	0.4117647058823529	0
mk/cfg/x86_64-pc-windows-msvc.mk	36	28	0	2	2	0.5	0
src/librustc_typeck/lib.rs	1734	362	32	4	36	0.34705882352941175	5
src/test/compile-fail/import.rs	47	25	0	6	6	0.36363636363636365	0
src/test/compile-fail/issue-23024.rs	43	23	0	8	8	0.36363636363636365	0
src/test/run-pass-fulldeps/auxiliary/macro_crate_test.rs	447	214	7	5	12	0.30303030303030304	0
src/test/compile-fail/dep-graph-trait-impl-two-traits.rs	58	54	0	2	2	0.6666666666666666	0
mk/cfg/aarch64-unknown-fuchsia.mk	1	1	0	1	1	1.0	0
src/libstd/sys_common/wtf8.rs	0	1180	0	1	1	1.0	3
src/test/debuginfo/pretty-std.rs	12	88	0	4	4	0.25	0
src/test/compile-fail-fulldeps/proc-macro/auxiliary/derive-bad.rs	26	25	0	1	1	1.0	0
src/test/compile-fail/no-capture-arc.rs	8	27	0	4	4	0.25	0
src/test/parse-fail/range_inclusive_gate.rs	74	72	0	1	1	1.0	0
src/libcoretest/num/flt2dec/estimator.rs	28	64	0	5	5	0.2857142857142857	0
src/rustc/Cargo.toml	87	22	0	3	3	0.4444444444444444	0
src/test/compile-fail/E0081.rs	36	20	0	3	3	0.5	0
src/test/compile-fail/issue-34839.rs	31	31	0	1	1	1.0	0
src/librustc_trans/cabi_mips64.rs	440	108	0	5	5	0.2	0
src/test/compile-fail/auxiliary/no_method_suggested_traits.rs	0	46	0	1	1	1.0	0
src/test/ui/span/mut-ptr-cant-outlive-ref.rs	0	20	0	1	1	1.0	0
src/test/parse-fail/unboxed-closure-sugar-used-on-struct-3.rs	4	30	0	2	2	0.5	0
src/vendor/toml/tests/valid/key-with-pound.toml	1	1	0	1	1	1.0	0
mk/cfg/x86_64-unknown-redox.mk	1	1	0	1	1	1.0	0
src/test/compile-fail/auxiliary/crateresolve1-2.rs	0	15	0	1	1	1.0	0
src/libcore/num/dec2flt/rawfp.rs	135	396	0	5	5	0.4444444444444444	0
src/librustdoc/passes/strip_private.rs	38	38	0	1	1	1.0	0
src/test/run-pass/extern-vectorcall.rs	41	35	0	3	3	0.5	0
src/vendor/toml/tests/invalid/text-after-array-entries.toml	4	4	0	1	1	1.0	0
src/test/run-pass-fulldeps/macro-quote-prelude.rs	54	54	0	1	1	1.0	0
src/test/compile-fail/issue-26056.rs	9	34	0	3	3	0.3333333333333333	0
src/test/compile-fail/struct-path-self-type-mismatch.rs	46	40	0	5	5	0.2	0
src/test/compile-fail/macro-tt-matchers.rs	40	32	0	4	4	0.25	0
src/memory.rs	5531	924	3	2	5	0.6358695652173914	9
src/test/compile-fail/E0401.rs	18	18	0	1	1	1.0	0
src/librustdoc/plugins.rs	34	92	0	3	3	0.5	0
src/test/run-pass/auxiliary/issue-13620-2.rs	0	13	0	1	1	1.0	0
src/test/ui/did_you_mean/issue-37139.rs	21	25	0	1	1	1.0	0
src/libcore/num/flt2dec/strategy/grisu.rs	4	694	0	2	2	0.5	0
src/librustc_typeck/check/method/probe.rs	4572	1303	27	3	30	0.3305084745762712	6
src/test/compile-fail/wf-trait-superbound.rs	10	22	0	2	2	0.5	0
src/test/compile-fail/E0195.rs	26	24	0	3	3	0.5	0
src/librustc_driver/driver.rs	7401	1365	39	3	42	0.3393939393939394	11
src/test/compile-fail/issue-18107.rs	10	23	0	4	4	0.4	0
src/test/rustdoc/redirect-rename.rs	32	32	0	1	1	1.0	0
src/test/compile-fail/E0503.rs	15	15	0	1	1	1.0	0
src/test/compile-fail/parse-error-correct.rs	35	21	0	7	7	0.3	0
src/test/run-pass/rfc1717/library-override.rs	19	23	0	1	1	1.0	0
